task,failure_mode,benign,strategy,n_agents,rep,model,correct,oracle_passed,oracle_total,wall_clock_s,prompt_tokens,completion_tokens,total_tokens,estimated_usd,wasted_tokens,wasted_token_rate,stall_events,fp_stall_events,notify_events,fp_notify_events,stall_wait_s,reads_observed,read_set_visibility,critical_paths_read_fraction,timed_out,agents_done,agents_errored,agents_timeout,log
rw_d_tag_antidependency,antidependency_silent_invalidation,False,file_lock,2,0,gpt-5-mini,False,1,3,89.1,29115,1379,30494,0.010037,0,0.0,2,0,0,0,0.0,7,1.0,1.0,False,1,1,0,rw_d_tag_antidependency__file_lock-n2-r0.jsonl
rw_d_tag_antidependency,antidependency_silent_invalidation,False,file_lock,2,1,gpt-5-mini,False,0,3,56.7,9012,608,9620,0.003469,0,0.0,2,0,0,0,0.0,5,1.0,1.0,False,0,2,0,rw_d_tag_antidependency__file_lock-n2-r1.jsonl
rw_d_tag_antidependency,antidependency_silent_invalidation,False,file_lock,2,2,gpt-5-mini,True,3,3,75.63,65813,4105,69918,0.024663,0,0.0,1,0,0,0,0.0,14,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__file_lock-n2-r2.jsonl
rw_d_tag_antidependency,antidependency_silent_invalidation,False,file_lock,2,3,gpt-5-mini,True,3,3,56.33,68102,2945,71047,0.022915,0,0.0,1,0,0,0,0.0,15,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__file_lock-n2-r3.jsonl
rw_d_tag_antidependency,antidependency_silent_invalidation,False,file_lock,2,4,gpt-5-mini,True,3,3,49.85,70672,2288,72960,0.022244,0,0.0,1,0,0,0,0.0,15,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__file_lock-n2-r4.jsonl
rw_d_tag_antidependency,antidependency_silent_invalidation,False,naive,2,0,gpt-5-mini,False,2,3,38.48,50810,2282,53092,0.017267,0,0.0,0,0,0,0,0.0,12,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__naive-n2-r0.jsonl
rw_d_tag_antidependency,antidependency_silent_invalidation,False,naive,2,1,gpt-5-mini,True,3,3,36.07,57872,2339,60211,0.019146,0,0.0,0,0,0,0,0.0,13,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__naive-n2-r1.jsonl
rw_d_tag_antidependency,antidependency_silent_invalidation,False,naive,2,2,gpt-5-mini,False,2,3,32.52,55661,2766,58427,0.019447,0,0.0,0,0,0,0,0.0,12,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__naive-n2-r2.jsonl
rw_d_tag_antidependency,antidependency_silent_invalidation,False,naive,2,3,gpt-5-mini,False,2,3,39.72,76776,2611,79387,0.024416,0,0.0,0,0,0,0,0.0,15,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__naive-n2-r3.jsonl
rw_d_tag_antidependency,antidependency_silent_invalidation,False,naive,2,4,gpt-5-mini,False,2,3,44.72,58805,2688,61493,0.020077,0,0.0,0,0,0,0,0.0,12,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__naive-n2-r4.jsonl
rw_d_tag_antidependency,antidependency_silent_invalidation,False,notify,2,0,gpt-5-mini,True,3,3,61.65,88307,4134,92441,0.030345,0,0.0,0,0,2,0,0.0,17,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__notify-n2-r0.jsonl
rw_d_tag_antidependency,antidependency_silent_invalidation,False,notify,2,1,gpt-5-mini,True,3,3,40.84,51247,2713,53960,0.018238,0,0.0,0,0,2,0,0.0,12,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__notify-n2-r1.jsonl
rw_d_tag_antidependency,antidependency_silent_invalidation,False,notify,2,2,gpt-5-mini,True,3,3,68.29,78483,3078,81561,0.025777,0,0.0,0,0,2,0,0.0,17,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__notify-n2-r2.jsonl
rw_d_tag_antidependency,antidependency_silent_invalidation,False,notify,2,3,gpt-5-mini,True,3,3,65.94,54784,2669,57453,0.019034,0,0.0,0,0,2,0,0.0,13,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__notify-n2-r3.jsonl
rw_d_tag_antidependency,antidependency_silent_invalidation,False,notify,2,4,gpt-5-mini,True,3,3,157.46,113357,4374,117731,0.037087,0,0.0,0,0,3,0,0.0,18,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__notify-n2-r4.jsonl
t01_stale_clobber,stale_read_lost_update,False,file_lock,2,0,gpt-5-mini,True,6,6,26.7,9023,1415,10438,0.005086,0,0.0,1,0,0,0,0.0,2,1.0,1.0,False,2,0,0,t01_stale_clobber__file_lock-n2-r0.jsonl
t01_stale_clobber,stale_read_lost_update,False,file_lock,2,1,gpt-5-mini,True,6,6,24.39,9013,1410,10423,0.005073,0,0.0,1,0,0,0,0.0,2,1.0,1.0,False,2,0,0,t01_stale_clobber__file_lock-n2-r1.jsonl
t01_stale_clobber,stale_read_lost_update,False,file_lock,2,2,gpt-5-mini,True,6,6,26.62,11133,1583,12716,0.005949,0,0.0,1,0,0,0,0.0,2,1.0,1.0,False,2,0,0,t01_stale_clobber__file_lock-n2-r2.jsonl
t01_stale_clobber,stale_read_lost_update,False,file_lock,2,3,gpt-5-mini,True,6,6,26.99,9002,1643,10645,0.005536,0,0.0,1,0,0,0,0.0,2,1.0,1.0,False,2,0,0,t01_stale_clobber__file_lock-n2-r3.jsonl
t01_stale_clobber,stale_read_lost_update,False,file_lock,2,4,gpt-5-mini,True,6,6,28.14,8997,1453,10450,0.005155,0,0.0,1,0,0,0,0.0,2,1.0,1.0,False,2,0,0,t01_stale_clobber__file_lock-n2-r4.jsonl
t01_stale_clobber,stale_read_lost_update,False,naive,2,0,gpt-5-mini,False,3,6,13.26,8776,1405,10181,0.005004,0,0.0,0,0,0,0,0.0,2,1.0,1.0,False,2,0,0,t01_stale_clobber__naive-n2-r0.jsonl
t01_stale_clobber,stale_read_lost_update,False,naive,2,1,gpt-5-mini,False,3,6,15.68,8762,1533,10295,0.005256,0,0.0,0,0,0,0,0.0,2,1.0,1.0,False,2,0,0,t01_stale_clobber__naive-n2-r1.jsonl
t01_stale_clobber,stale_read_lost_update,False,naive,2,2,gpt-5-mini,False,3,6,13.93,8762,1591,10353,0.005372,0,0.0,0,0,0,0,0.0,2,1.0,1.0,False,2,0,0,t01_stale_clobber__naive-n2-r2.jsonl
t01_stale_clobber,stale_read_lost_update,False,naive,2,3,gpt-5-mini,False,3,6,13.51,8762,1598,10360,0.005386,0,0.0,0,0,0,0,0.0,2,1.0,1.0,False,2,0,0,t01_stale_clobber__naive-n2-r3.jsonl
t01_stale_clobber,stale_read_lost_update,False,naive,2,4,gpt-5-mini,False,3,6,15.98,10872,1511,12383,0.00574,0,0.0,0,0,0,0,0.0,2,1.0,1.0,False,2,0,0,t01_stale_clobber__naive-n2-r4.jsonl
t01_stale_clobber,stale_read_lost_update,False,notify,2,0,gpt-5-mini,False,3,6,20.91,10938,2022,12960,0.006778,0,0.0,0,0,1,0,0.0,3,1.0,1.0,False,2,0,0,t01_stale_clobber__notify-n2-r0.jsonl
t01_stale_clobber,stale_read_lost_update,False,notify,2,1,gpt-5-mini,True,6,6,40.01,31325,3110,34435,0.014051,0,0.0,0,0,2,0,0.0,7,1.0,1.0,False,2,0,0,t01_stale_clobber__notify-n2-r1.jsonl
t01_stale_clobber,stale_read_lost_update,False,notify,2,2,gpt-5-mini,True,6,6,28.02,17069,2722,19791,0.009711,0,0.0,0,0,2,0,0.0,4,1.0,1.0,False,2,0,0,t01_stale_clobber__notify-n2-r2.jsonl
t01_stale_clobber,stale_read_lost_update,False,notify,2,3,gpt-5-mini,False,3,6,24.01,10891,2337,13228,0.007397,0,0.0,0,0,1,0,0.0,3,1.0,1.0,False,2,0,0,t01_stale_clobber__notify-n2-r3.jsonl
t01_stale_clobber,stale_read_lost_update,False,notify,2,4,gpt-5-mini,True,6,6,51.93,39393,5001,44394,0.01985,0,0.0,0,0,3,0,0.0,6,1.0,1.0,False,2,0,0,t01_stale_clobber__notify-n2-r4.jsonl
t03_fetch_clobber,write_write_clobber,False,file_lock,2,0,gpt-5-mini,True,5,5,38.53,7775,1923,9698,0.00579,0,0.0,1,0,0,0,0.0,2,1.0,1.0,False,2,0,0,t03_fetch_clobber__file_lock-n2-r0.jsonl
t03_fetch_clobber,write_write_clobber,False,file_lock,2,1,gpt-5-mini,True,5,5,49.72,12536,2771,15307,0.008676,0,0.0,1,0,0,0,0.0,4,1.0,1.0,False,2,0,0,t03_fetch_clobber__file_lock-n2-r1.jsonl
t03_fetch_clobber,write_write_clobber,False,file_lock,2,2,gpt-5-mini,True,5,5,42.1,13698,2255,15953,0.007935,0,0.0,1,0,0,0,0.0,5,1.0,1.0,False,2,0,0,t03_fetch_clobber__file_lock-n2-r2.jsonl
t03_fetch_clobber,write_write_clobber,False,file_lock,2,3,gpt-5-mini,True,5,5,51.35,11970,2582,14552,0.008157,0,0.0,1,0,0,0,0.0,4,1.0,1.0,False,2,0,0,t03_fetch_clobber__file_lock-n2-r3.jsonl
t03_fetch_clobber,write_write_clobber,False,file_lock,2,4,gpt-5-mini,True,5,5,41.5,13487,2014,15501,0.0074,0,0.0,1,0,0,0,0.0,4,1.0,1.0,False,2,0,0,t03_fetch_clobber__file_lock-n2-r4.jsonl
t03_fetch_clobber,write_write_clobber,False,naive,2,0,gpt-5-mini,False,3,5,17.9,9141,1581,10722,0.005447,0,0.0,0,0,0,0,0.0,2,1.0,1.0,False,2,0,0,t03_fetch_clobber__naive-n2-r0.jsonl
t03_fetch_clobber,write_write_clobber,False,naive,2,1,gpt-5-mini,False,3,5,24.05,11378,1922,13300,0.006689,0,0.0,0,0,0,0,0.0,4,1.0,1.0,False,2,0,0,t03_fetch_clobber__naive-n2-r1.jsonl
t03_fetch_clobber,write_write_clobber,False,naive,2,2,gpt-5-mini,False,3,5,14.16,8404,1237,9641,0.004575,0,0.0,0,0,0,0,0.0,2,1.0,1.0,False,2,0,0,t03_fetch_clobber__naive-n2-r2.jsonl
t03_fetch_clobber,write_write_clobber,False,naive,2,3,gpt-5-mini,False,3,5,24.82,11264,2122,13386,0.00706,0,0.0,0,0,0,0,0.0,4,1.0,1.0,False,2,0,0,t03_fetch_clobber__naive-n2-r3.jsonl
t03_fetch_clobber,write_write_clobber,False,naive,2,4,gpt-5-mini,False,3,5,25.23,9377,2110,11487,0.006564,0,0.0,0,0,0,0,0.0,3,1.0,1.0,False,2,0,0,t03_fetch_clobber__naive-n2-r4.jsonl
t03_fetch_clobber,write_write_clobber,False,notify,2,0,gpt-5-mini,False,3,5,27.82,12276,1989,14265,0.007047,0,0.0,0,0,1,0,0.0,4,1.0,1.0,False,2,0,0,t03_fetch_clobber__notify-n2-r0.jsonl
t03_fetch_clobber,write_write_clobber,False,notify,2,1,gpt-5-mini,False,3,5,30.88,12103,1969,14072,0.006964,0,0.0,0,0,1,0,0.0,4,1.0,1.0,False,2,0,0,t03_fetch_clobber__notify-n2-r1.jsonl
t03_fetch_clobber,write_write_clobber,False,notify,2,2,gpt-5-mini,False,3,5,37.62,13383,2457,15840,0.00826,0,0.0,0,0,1,0,0.0,5,1.0,1.0,False,2,0,0,t03_fetch_clobber__notify-n2-r2.jsonl
t03_fetch_clobber,write_write_clobber,False,notify,2,3,gpt-5-mini,False,2,5,23.74,10871,1788,12659,0.006294,0,0.0,0,0,1,0,0.0,3,1.0,1.0,False,2,0,0,t03_fetch_clobber__notify-n2-r3.jsonl
t03_fetch_clobber,write_write_clobber,False,notify,2,4,gpt-5-mini,True,5,5,49.96,19268,3679,22947,0.012175,0,0.0,0,0,2,0,0.0,6,1.0,1.0,False,2,0,0,t03_fetch_clobber__notify-n2-r4.jsonl
