task,failure_mode,benign,strategy,mode,adapter,n_agents,rep,model,correct,oracle_passed,oracle_total,wall_clock_s,prompt_tokens,completion_tokens,total_tokens,estimated_usd,wasted_tokens,wasted_token_rate,stall_events,fp_stall_events,notify_events,fp_notify_events,stall_wait_s,reads_observed,llm_calls,tool_calls,file_read_events,write_events,write_applied_events,write_refused_events,search_events,coord_events,run_tests_events,notification_delivered_events,agent_turns,mean_agent_turns,tokens_per_agent_turn,read_set_visibility,critical_paths_read_fraction,timed_out,agents_done,agents_errored,agents_timeout,log,run_id,provider,run_dir
rw_b_signature_drift,stale_read_signature_drift,False,ast_dep,strategy,,2,4,gpt-5-mini,False,2,3,57.72,70728,3271,73999,0.024224,0,0.0,1,0,0,0,22.453,11,29,28,11,8,8,0,4,7,2,0,29,14.5,2551.689655172414,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_dep-n2-r4.jsonl,grid-v1-toolarg-rerun,openai,results/grid-v1-toolarg-rerun
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_scope,strategy,,2,0,gpt-5-mini,False,2,3,38.05,74118,3662,77780,0.025854,0,0.0,0,0,0,0,0.016,12,25,24,12,3,3,0,3,2,2,0,25,12.5,3111.2,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_scope-n2-r0.jsonl,grid-v1-toolarg-rerun,openai,results/grid-v1-toolarg-rerun
rw_d_tag_antidependency,antidependency_silent_invalidation,False,naive,strategy,,2,3,gpt-5-mini,False,2,3,31.26,65230,2427,67657,0.021161,0,0.0,0,0,0,0,0.0,15,25,25,15,3,3,0,0,0,3,0,25,12.5,2706.28,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__naive-n2-r3.jsonl,grid-v1-toolarg-rerun,openai,results/grid-v1-toolarg-rerun
rw_d_tag_antidependency,antidependency_silent_invalidation,False,notify,strategy,,2,1,gpt-5-mini,True,3,3,32.75,57368,1954,59322,0.01825,0,0.0,0,0,2,0,0.0,12,23,22,12,3,3,0,2,2,2,2,23,11.5,2579.217391304348,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__notify-n2-r1.jsonl,grid-v1-toolarg-rerun,openai,results/grid-v1-toolarg-rerun
rw_e_cascade,causal_cascade,False,peer_broker,strategy,,3,2,gpt-5-mini,False,2,3,133.63,352870,18195,371065,0.124607,0,0.0,3,0,0,0,41.834,43,85,81,43,14,14,0,10,30,7,0,81,27.0,4581.049382716049,1.0,1.0,False,3,0,0,rw_e_cascade__peer_broker-n3-r2.jsonl,grid-v1-toolarg-rerun,openai,results/grid-v1-toolarg-rerun
t10_phantom_tool,phantom_tool_registry_drift,False,adaptive_lease,strategy,,2,0,gpt-5-mini,True,3,3,44.19,32441,2931,35372,0.013972,0,0.0,0,0,0,0,0.009,8,23,23,8,3,3,0,0,7,2,2,23,11.5,1537.9130434782608,1.0,,False,2,0,0,t10_phantom_tool__adaptive_lease-n2-r0.jsonl,grid-v1-toolarg-rerun,openai,results/grid-v1-toolarg-rerun
t10_phantom_tool,phantom_tool_registry_drift,False,adaptive_lease,strategy,,2,1,gpt-5-mini,True,3,3,39.16,39444,2995,42439,0.015851,0,0.0,0,0,0,0,0.007,10,26,26,10,3,3,0,1,8,2,2,26,13.0,1632.2692307692307,1.0,,False,2,0,0,t10_phantom_tool__adaptive_lease-n2-r1.jsonl,grid-v1-toolarg-rerun,openai,results/grid-v1-toolarg-rerun
t10_phantom_tool,phantom_tool_registry_drift,False,ast_dep,strategy,,2,0,gpt-5-mini,True,3,3,58.05,39092,2745,41837,0.015263,0,0.0,0,0,0,0,0.016,17,30,30,17,3,3,0,1,1,2,0,30,15.0,1394.5666666666666,1.0,,False,2,0,0,t10_phantom_tool__ast_dep-n2-r0.jsonl,grid-v1-toolarg-rerun,openai,results/grid-v1-toolarg-rerun
t10_phantom_tool,phantom_tool_registry_drift,False,ast_scope,strategy,,2,0,gpt-5-mini,True,3,3,46.9,31107,3215,34322,0.014207,0,0.0,0,0,0,0,0.009,11,24,24,11,3,3,0,1,1,2,0,24,12.0,1430.0833333333333,1.0,,False,2,0,0,t10_phantom_tool__ast_scope-n2-r0.jsonl,grid-v1-toolarg-rerun,openai,results/grid-v1-toolarg-rerun
t10_phantom_tool,phantom_tool_registry_drift,False,ast_scope,strategy,,2,4,gpt-5-mini,True,3,3,70.29,28692,3104,31796,0.013381,0,0.0,0,0,0,0,0.025,10,23,23,10,3,3,0,1,1,2,0,23,11.5,1382.4347826086957,1.0,,False,2,0,0,t10_phantom_tool__ast_scope-n2-r4.jsonl,grid-v1-toolarg-rerun,openai,results/grid-v1-toolarg-rerun
t10_phantom_tool,phantom_tool_registry_drift,False,naive,strategy,,2,3,gpt-5-mini,True,3,3,54.03,32002,2522,34524,0.013045,0,0.0,0,0,0,0,0.0,9,25,25,9,3,3,0,1,0,2,0,25,12.5,1380.96,1.0,,False,2,0,0,t10_phantom_tool__naive-n2-r3.jsonl,grid-v1-toolarg-rerun,openai,results/grid-v1-toolarg-rerun
t10_phantom_tool,phantom_tool_registry_drift,False,notify,strategy,,2,2,gpt-5-mini,True,3,3,64.58,27024,3466,30490,0.013688,0,0.0,0,0,0,0,0.0,9,22,22,9,3,3,0,0,0,2,0,22,11.0,1385.909090909091,1.0,,False,2,0,0,t10_phantom_tool__notify-n2-r2.jsonl,grid-v1-toolarg-rerun,openai,results/grid-v1-toolarg-rerun
t10_phantom_tool,phantom_tool_registry_drift,False,notify,strategy,,2,3,gpt-5-mini,True,3,3,53.24,42116,3402,45518,0.017333,0,0.0,0,0,2,0,0.0,17,31,31,17,3,3,0,2,2,2,1,31,15.5,1468.3225806451612,1.0,,False,2,0,0,t10_phantom_tool__notify-n2-r3.jsonl,grid-v1-toolarg-rerun,openai,results/grid-v1-toolarg-rerun
