task,failure_mode,benign,strategy,mode,adapter,n_agents,rep,model,correct,oracle_passed,oracle_total,wall_clock_s,prompt_tokens,completion_tokens,total_tokens,estimated_usd,wasted_tokens,wasted_token_rate,stall_events,fp_stall_events,notify_events,fp_notify_events,stall_wait_s,reads_observed,llm_calls,tool_calls,file_read_events,write_events,write_applied_events,write_refused_events,search_events,coord_events,run_tests_events,notification_delivered_events,agent_turns,mean_agent_turns,tokens_per_agent_turn,read_set_visibility,critical_paths_read_fraction,timed_out,agents_done,agents_errored,agents_timeout,log,run_id,provider,run_dir
rw_b_signature_drift,stale_read_signature_drift,False,ast_dep,strategy,,2,0,gpt-5-mini,False,2,3,62.08,112303,4074,116377,0.036224,0,0.0,1,0,0,0,21.018,18,37,36,18,8,8,0,4,7,3,0,37,18.5,3145.324324324324,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_dep-n2-r0.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,ast_dep,strategy,,2,1,gpt-5-mini,False,2,3,55.02,92719,4596,97315,0.032372,0,0.0,1,0,0,0,7.208,16,34,34,16,8,8,0,4,7,2,0,34,17.0,2862.205882352941,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_dep-n2-r1.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,ast_dep,strategy,,2,2,gpt-5-mini,False,2,3,63.27,76308,4883,81191,0.028843,0,0.0,1,0,0,0,20.848,13,29,29,13,7,7,0,3,6,2,0,29,14.5,2799.689655172414,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_dep-n2-r2.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,ast_dep,strategy,,2,3,gpt-5-mini,False,2,3,107.19,187760,7204,194964,0.061348,11639,0.05969820069346136,2,0,0,0,30.212,20,51,50,20,10,8,2,13,9,4,0,51,25.5,3822.823529411765,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_dep-n2-r3.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,ast_dep,strategy,,2,4,gpt-5-mini,False,2,3,57.78,129991,3956,133947,0.04041,0,0.0,1,0,0,0,18.984,22,40,40,22,9,9,0,4,7,2,0,40,20.0,3348.675,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_dep-n2-r4.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,ast_scope,strategy,,2,0,gpt-5-mini,True,3,3,81.0,117328,6333,123661,0.041998,6245,0.05050096635155789,0,0,0,0,0.23,16,37,37,16,10,9,1,4,6,4,0,37,18.5,3342.189189189189,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_scope-n2-r0.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,ast_scope,strategy,,2,1,gpt-5-mini,True,3,3,146.0,216425,8129,224554,0.070364,13915,0.06196727735867542,3,0,0,0,84.68,26,51,51,26,11,9,2,6,9,4,0,51,25.5,4403.019607843137,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_scope-n2-r1.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,ast_scope,strategy,,2,2,gpt-5-mini,False,2,3,66.78,165549,6946,172495,0.055279,7608,0.04410562625003623,0,0,0,0,0.042,18,45,45,18,11,10,1,10,8,3,0,45,22.5,3833.222222222222,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_scope-n2-r2.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,ast_scope,strategy,,2,3,gpt-5-mini,False,2,3,40.94,57150,3314,60464,0.020916,0,0.0,0,0,0,0,0.029,10,25,25,10,7,7,0,3,1,2,0,25,12.5,2418.56,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_scope-n2-r3.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,ast_scope,strategy,,2,4,gpt-5-mini,False,2,3,63.59,119929,4035,123964,0.038052,0,0.0,0,0,0,0,0.162,22,38,38,22,8,8,0,3,5,2,0,38,19.0,3262.2105263157896,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_scope-n2-r4.jsonl,grid-v1,openai,results/grid-v1
