run_id,provider,run_dir,log,task,failure_mode,benign,strategy,mode,adapter,n_agents,rep,model,agent,status,turns,llm_calls,tool_calls,file_reads,write_attempts,write_applied,write_refused,search_events,run_tests,notifications_delivered,prompt_tokens,completion_tokens,total_tokens
grid-v1-extensions-full,openai,results/grid-v1-extensions-full,rw_b_signature_drift__adaptive_lease-n2-r0.jsonl,rw_b_signature_drift,stale_read_signature_drift,False,adaptive_lease,strategy,,2,0,gpt-5-mini,agent-reading-time,done,14,14,14,7,2,2,0,2,1,6,35189,2349,37538
grid-v1-extensions-full,openai,results/grid-v1-extensions-full,rw_b_signature_drift__adaptive_lease-n2-r0.jsonl,rw_b_signature_drift,stale_read_signature_drift,False,adaptive_lease,strategy,,2,0,gpt-5-mini,agent-i18n,done,21,21,21,7,6,6,0,5,1,1,72605,2811,75416
grid-v1-extensions-full,openai,results/grid-v1-extensions-full,rw_b_signature_drift__adaptive_lease-n2-r1.jsonl,rw_b_signature_drift,stale_read_signature_drift,False,adaptive_lease,strategy,,2,1,gpt-5-mini,agent-reading-time,done,11,11,11,5,1,1,0,2,1,1,22580,1325,23905
grid-v1-extensions-full,openai,results/grid-v1-extensions-full,rw_b_signature_drift__adaptive_lease-n2-r1.jsonl,rw_b_signature_drift,stale_read_signature_drift,False,adaptive_lease,strategy,,2,1,gpt-5-mini,agent-i18n,done,22,22,22,8,5,5,0,5,1,1,74640,3482,78122
grid-v1-extensions-full,openai,results/grid-v1-extensions-full,rw_b_signature_drift__adaptive_lease-n2-r2.jsonl,rw_b_signature_drift,stale_read_signature_drift,False,adaptive_lease,strategy,,2,2,gpt-5-mini,agent-reading-time,done,15,15,14,7,2,1,1,2,1,6,41540,3845,45385
grid-v1-extensions-full,openai,results/grid-v1-extensions-full,rw_b_signature_drift__adaptive_lease-n2-r2.jsonl,rw_b_signature_drift,stale_read_signature_drift,False,adaptive_lease,strategy,,2,2,gpt-5-mini,agent-i18n,done,26,26,26,7,7,7,0,8,2,1,101535,3424,104959
grid-v1-extensions-full,openai,results/grid-v1-extensions-full,rw_b_signature_drift__adaptive_lease-n2-r3.jsonl,rw_b_signature_drift,stale_read_signature_drift,False,adaptive_lease,strategy,,2,3,gpt-5-mini,agent-reading-time,done,14,14,14,7,2,2,0,2,1,6,38666,2924,41590
grid-v1-extensions-full,openai,results/grid-v1-extensions-full,rw_b_signature_drift__adaptive_lease-n2-r3.jsonl,rw_b_signature_drift,stale_read_signature_drift,False,adaptive_lease,strategy,,2,3,gpt-5-mini,agent-i18n,done,24,24,23,5,7,6,1,4,4,2,81292,2658,83950
grid-v1-extensions-full,openai,results/grid-v1-extensions-full,rw_b_signature_drift__adaptive_lease-n2-r4.jsonl,rw_b_signature_drift,stale_read_signature_drift,False,adaptive_lease,strategy,,2,4,gpt-5-mini,agent-reading-time,done,14,14,14,6,2,2,0,3,1,6,34307,2043,36350
grid-v1-extensions-full,openai,results/grid-v1-extensions-full,rw_b_signature_drift__adaptive_lease-n2-r4.jsonl,rw_b_signature_drift,stale_read_signature_drift,False,adaptive_lease,strategy,,2,4,gpt-5-mini,agent-i18n,done,23,23,23,7,7,7,0,5,2,1,79318,4761,84079
grid-v1-extensions-full,openai,results/grid-v1-extensions-full,rw_b_signature_drift__peer_broker-n2-r0.jsonl,rw_b_signature_drift,stale_read_signature_drift,False,peer_broker,strategy,,2,0,gpt-5-mini,agent-reading-time,done,23,24,23,13,3,2,1,4,1,1,91887,5789,97676
grid-v1-extensions-full,openai,results/grid-v1-extensions-full,rw_b_signature_drift__peer_broker-n2-r0.jsonl,rw_b_signature_drift,stale_read_signature_drift,False,peer_broker,strategy,,2,0,gpt-5-mini,agent-i18n,done,22,23,22,10,6,6,0,3,1,1,84397,4792,89189
grid-v1-extensions-full,openai,results/grid-v1-extensions-full,rw_b_signature_drift__peer_broker-n2-r1.jsonl,rw_b_signature_drift,stale_read_signature_drift,False,peer_broker,strategy,,2,1,gpt-5-mini,agent-reading-time,done,20,21,20,12,2,2,0,3,1,1,75866,4728,80594
grid-v1-extensions-full,openai,results/grid-v1-extensions-full,rw_b_signature_drift__peer_broker-n2-r1.jsonl,rw_b_signature_drift,stale_read_signature_drift,False,peer_broker,strategy,,2,1,gpt-5-mini,agent-i18n,done,19,20,19,8,6,6,0,1,2,1,54069,4847,58916
grid-v1-extensions-full,openai,results/grid-v1-extensions-full,rw_b_signature_drift__peer_broker-n2-r2.jsonl,rw_b_signature_drift,stale_read_signature_drift,False,peer_broker,strategy,,2,2,gpt-5-mini,agent-reading-time,done,21,22,21,11,4,2,2,2,2,0,77873,5023,82896
