run_id,provider,run_dir,log,task,failure_mode,benign,strategy,mode,adapter,n_agents,rep,model,agent,status,turns,llm_calls,tool_calls,file_reads,write_attempts,write_applied,write_refused,search_events,run_tests,notifications_delivered,prompt_tokens,completion_tokens,total_tokens
grid-v1-adaptive-lease-targeted,openai,results/grid-v1-adaptive-lease-targeted,rw_d_tag_antidependency__adaptive_lease-n2-r0.jsonl,rw_d_tag_antidependency,antidependency_silent_invalidation,False,adaptive_lease,strategy,,2,0,gpt-5-mini,agent-tag-semantics,done,7,7,7,1,2,2,0,2,1,0,10239,849,11088
grid-v1-adaptive-lease-targeted,openai,results/grid-v1-adaptive-lease-targeted,rw_d_tag_antidependency__adaptive_lease-n2-r0.jsonl,rw_d_tag_antidependency,antidependency_silent_invalidation,False,adaptive_lease,strategy,,2,0,gpt-5-mini,agent-tag-stats,done,14,14,14,9,1,1,0,1,1,0,41722,1473,43195
grid-v1-adaptive-lease-targeted,openai,results/grid-v1-adaptive-lease-targeted,rw_e_cascade__adaptive_lease-n3-r0.jsonl,rw_e_cascade,causal_cascade,False,adaptive_lease,strategy,,3,0,gpt-5-mini,agent-schema,done,39,39,39,19,10,9,1,2,6,0,282197,14622,296819
grid-v1-adaptive-lease-targeted,openai,results/grid-v1-adaptive-lease-targeted,rw_e_cascade__adaptive_lease-n3-r0.jsonl,rw_e_cascade,causal_cascade,False,adaptive_lease,strategy,,3,0,gpt-5-mini,agent-comments,done,33,33,33,17,9,5,4,3,2,0,172155,7268,179423
grid-v1-adaptive-lease-targeted,openai,results/grid-v1-adaptive-lease-targeted,rw_e_cascade__adaptive_lease-n3-r0.jsonl,rw_e_cascade,causal_cascade,False,adaptive_lease,strategy,,3,0,gpt-5-mini,agent-feed,max_turns,40,40,40,18,4,4,0,12,6,0,208455,8947,217402
grid-v1-adaptive-lease-targeted,openai,results/grid-v1-adaptive-lease-targeted,t01_stale_clobber__adaptive_lease-n2-r0.jsonl,t01_stale_clobber,stale_read_lost_update,False,adaptive_lease,strategy,,2,0,gpt-5-mini,agent-timeout,done,6,6,6,2,2,1,1,0,1,0,9014,1581,10595
grid-v1-adaptive-lease-targeted,openai,results/grid-v1-adaptive-lease-targeted,t01_stale_clobber__adaptive_lease-n2-r0.jsonl,t01_stale_clobber,stale_read_lost_update,False,adaptive_lease,strategy,,2,0,gpt-5-mini,agent-retries,done,4,4,4,1,1,1,0,0,1,0,4416,644,5060
grid-v1-adaptive-lease-targeted,openai,results/grid-v1-adaptive-lease-targeted,t02_benign_overlap__adaptive_lease-n2-r0.jsonl,t02_benign_overlap,benign_overlap_false_positive,True,adaptive_lease,strategy,,2,0,gpt-5-mini,agent-slugify,done,6,6,6,2,1,1,0,0,1,0,5685,676,6361
grid-v1-adaptive-lease-targeted,openai,results/grid-v1-adaptive-lease-targeted,t02_benign_overlap__adaptive_lease-n2-r0.jsonl,t02_benign_overlap,benign_overlap_false_positive,True,adaptive_lease,strategy,,2,0,gpt-5-mini,agent-truncate,done,6,6,6,2,1,1,0,0,1,0,6003,894,6897
grid-v1-adaptive-lease-targeted,openai,results/grid-v1-adaptive-lease-targeted,t03_fetch_clobber__adaptive_lease-n2-r0.jsonl,t03_fetch_clobber,write_write_clobber,False,adaptive_lease,strategy,,2,0,gpt-5-mini,agent-timeout,done,4,4,4,1,1,1,0,0,1,0,3606,598,4204
grid-v1-adaptive-lease-targeted,openai,results/grid-v1-adaptive-lease-targeted,t03_fetch_clobber__adaptive_lease-n2-r0.jsonl,t03_fetch_clobber,write_write_clobber,False,adaptive_lease,strategy,,2,0,gpt-5-mini,agent-retries,done,8,8,8,3,2,1,1,0,1,0,9750,2317,12067
grid-v1-adaptive-lease-targeted,openai,results/grid-v1-adaptive-lease-targeted,t04_cascade__adaptive_lease-n4-r0.jsonl,t04_cascade,causal_cascade,False,adaptive_lease,strategy,,4,0,gpt-5-mini,agent-datasource,done,16,16,16,5,4,4,0,4,1,0,24443,2346,26789
grid-v1-adaptive-lease-targeted,openai,results/grid-v1-adaptive-lease-targeted,t04_cascade__adaptive_lease-n4-r0.jsonl,t04_cascade,causal_cascade,False,adaptive_lease,strategy,,4,0,gpt-5-mini,agent-pipeline,done,17,17,17,12,2,2,0,0,1,0,24588,1009,25597
grid-v1-adaptive-lease-targeted,openai,results/grid-v1-adaptive-lease-targeted,t04_cascade__adaptive_lease-n4-r0.jsonl,t04_cascade,causal_cascade,False,adaptive_lease,strategy,,4,0,gpt-5-mini,agent-report,done,26,26,26,16,5,4,1,0,3,0,52520,2796,55316
grid-v1-adaptive-lease-targeted,openai,results/grid-v1-adaptive-lease-targeted,t04_cascade__adaptive_lease-n4-r0.jsonl,t04_cascade,causal_cascade,False,adaptive_lease,strategy,,4,0,gpt-5-mini,agent-cli,done,16,16,16,11,1,1,0,0,1,0,20396,867,21263
