run_id,provider,run_dir,log,task,failure_mode,benign,strategy,mode,adapter,n_agents,rep,model,agent,status,turns,llm_calls,tool_calls,file_reads,write_attempts,write_applied,write_refused,search_events,run_tests,notifications_delivered,prompt_tokens,completion_tokens,total_tokens
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,rw_d_tag_antidependency__peer_broker-n2-r0.jsonl,rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_broker,strategy,,2,0,gpt-5-mini,agent-tag-semantics,done,12,12,12,5,4,2,2,0,1,0,32814,2481,35295
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,rw_d_tag_antidependency__peer_broker-n2-r0.jsonl,rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_broker,strategy,,2,0,gpt-5-mini,agent-tag-stats,done,9,10,9,5,1,1,0,0,1,0,18580,2356,20936
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,rw_d_tag_antidependency__peer_contract-n2-r0.jsonl,rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_contract,strategy,,2,0,gpt-5-mini,agent-tag-semantics,done,8,8,8,2,2,2,0,1,1,1,14150,944,15094
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,rw_d_tag_antidependency__peer_contract-n2-r0.jsonl,rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_contract,strategy,,2,0,gpt-5-mini,agent-tag-stats,done,14,14,14,8,1,1,0,0,1,2,38535,2391,40926
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,rw_e_cascade__peer_broker-n3-r0.jsonl,rw_e_cascade,causal_cascade,False,peer_broker,strategy,,3,0,gpt-5-mini,agent-schema,done,35,36,35,17,12,8,4,2,2,0,230832,8528,239360
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,rw_e_cascade__peer_broker-n3-r0.jsonl,rw_e_cascade,causal_cascade,False,peer_broker,strategy,,3,0,gpt-5-mini,agent-comments,done,30,37,29,18,3,3,0,5,2,0,158196,11057,169253
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,rw_e_cascade__peer_broker-n3-r0.jsonl,rw_e_cascade,causal_cascade,False,peer_broker,strategy,,3,0,gpt-5-mini,agent-feed,done,22,24,22,15,2,1,1,2,1,0,80920,4412,85332
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,rw_e_cascade__peer_contract-n3-r0.jsonl,rw_e_cascade,causal_cascade,False,peer_contract,strategy,,3,0,gpt-5-mini,agent-schema,done,32,32,32,12,9,8,1,4,3,1,171220,10033,181253
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,rw_e_cascade__peer_contract-n3-r0.jsonl,rw_e_cascade,causal_cascade,False,peer_contract,strategy,,3,0,gpt-5-mini,agent-comments,done,25,25,24,9,2,2,0,7,2,2,136576,5351,141927
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,rw_e_cascade__peer_contract-n3-r0.jsonl,rw_e_cascade,causal_cascade,False,peer_contract,strategy,,3,0,gpt-5-mini,agent-feed,done,20,20,20,9,1,1,0,5,1,2,63694,2273,65967
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,t02_benign_overlap__peer_broker-n2-r0.jsonl,t02_benign_overlap,benign_overlap_false_positive,True,peer_broker,strategy,,2,0,gpt-5-mini,agent-slugify,done,7,7,7,2,2,1,1,1,1,0,9227,1336,10563
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,t02_benign_overlap__peer_broker-n2-r0.jsonl,t02_benign_overlap,benign_overlap_false_positive,True,peer_broker,strategy,,2,0,gpt-5-mini,agent-truncate,done,5,6,5,1,1,1,0,1,1,0,6195,2168,8363
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,t02_benign_overlap__peer_contract-n2-r0.jsonl,t02_benign_overlap,benign_overlap_false_positive,True,peer_contract,strategy,,2,0,gpt-5-mini,agent-slugify,done,5,5,5,1,1,1,0,0,1,1,5959,600,6559
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,t02_benign_overlap__peer_contract-n2-r0.jsonl,t02_benign_overlap,benign_overlap_false_positive,True,peer_contract,strategy,,2,0,gpt-5-mini,agent-truncate,done,5,5,5,1,1,1,0,0,1,1,6425,1340,7765
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,t03_fetch_clobber__peer_broker-n2-r0.jsonl,t03_fetch_clobber,write_write_clobber,False,peer_broker,strategy,,2,0,gpt-5-mini,agent-timeout,done,8,8,8,2,2,1,1,2,1,0,10314,2556,12870
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,t03_fetch_clobber__peer_broker-n2-r0.jsonl,t03_fetch_clobber,write_write_clobber,False,peer_broker,strategy,,2,0,gpt-5-mini,agent-retries,done,6,7,6,2,1,1,0,0,1,0,6717,2408,9125
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,t03_fetch_clobber__peer_contract-n2-r0.jsonl,t03_fetch_clobber,write_write_clobber,False,peer_contract,strategy,,2,0,gpt-5-mini,agent-timeout,done,8,8,8,2,2,1,1,0,1,2,12471,1195,13666
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,t03_fetch_clobber__peer_contract-n2-r0.jsonl,t03_fetch_clobber,write_write_clobber,False,peer_contract,strategy,,2,0,gpt-5-mini,agent-retries,done,9,9,9,2,2,1,1,1,1,2,15150,3438,18588
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,t04_cascade__peer_broker-n4-r0.jsonl,t04_cascade,causal_cascade,False,peer_broker,strategy,,4,0,gpt-5-mini,agent-datasource,done,24,25,24,9,7,5,2,4,2,0,58240,7497,65737
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,t04_cascade__peer_broker-n4-r0.jsonl,t04_cascade,causal_cascade,False,peer_broker,strategy,,4,0,gpt-5-mini,agent-pipeline,done,19,24,19,14,2,2,0,0,1,0,31614,5643,37257
grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2,t04_cascade__peer_broker-n4-r0.jsonl,t04_cascade,causal_cascade,False,peer_broker,strategy,,4,0,gpt-5-mini,agent-report,done,37,46,37,24,7,2,5,2,2,0,116280,9751,126031
