task,failure_mode,benign,strategy,n_agents,rep,model,correct,oracle_passed,oracle_total,wall_clock_s,prompt_tokens,completion_tokens,total_tokens,estimated_usd,wasted_tokens,wasted_token_rate,stall_events,fp_stall_events,notify_events,fp_notify_events,stall_wait_s,reads_observed,read_set_visibility,critical_paths_read_fraction,timed_out,agents_done,agents_errored,agents_timeout,log
rw_b_signature_drift,stale_read_signature_drift,False,ast_dep,2,0,gpt-5-mini,False,2,3,62.08,112303,4074,116377,0.036224,0,0.0,1,0,0,0,21.018,18,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_dep-n2-r0.jsonl
rw_b_signature_drift,stale_read_signature_drift,False,ast_dep,2,1,gpt-5-mini,False,2,3,55.02,92719,4596,97315,0.032372,0,0.0,1,0,0,0,7.208,16,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_dep-n2-r1.jsonl
rw_b_signature_drift,stale_read_signature_drift,False,ast_dep,2,2,gpt-5-mini,False,2,3,63.27,76308,4883,81191,0.028843,0,0.0,1,0,0,0,20.848,13,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_dep-n2-r2.jsonl
rw_b_signature_drift,stale_read_signature_drift,False,ast_dep,2,3,gpt-5-mini,False,2,3,107.19,187760,7204,194964,0.061348,11639,0.05969820069346136,2,0,0,0,30.212,20,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_dep-n2-r3.jsonl
rw_b_signature_drift,stale_read_signature_drift,False,ast_dep,2,4,gpt-5-mini,False,2,3,57.78,129991,3956,133947,0.04041,0,0.0,1,0,0,0,18.984,22,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_dep-n2-r4.jsonl
rw_b_signature_drift,stale_read_signature_drift,False,ast_scope,2,0,gpt-5-mini,True,3,3,81.0,117328,6333,123661,0.041998,6245,0.05050096635155789,0,0,0,0,0.23,16,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_scope-n2-r0.jsonl
rw_b_signature_drift,stale_read_signature_drift,False,ast_scope,2,1,gpt-5-mini,True,3,3,146.0,216425,8129,224554,0.070364,13915,0.06196727735867542,3,0,0,0,84.68,26,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_scope-n2-r1.jsonl
rw_b_signature_drift,stale_read_signature_drift,False,ast_scope,2,2,gpt-5-mini,False,2,3,66.78,165549,6946,172495,0.055279,7608,0.04410562625003623,0,0,0,0,0.042,18,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_scope-n2-r2.jsonl
rw_b_signature_drift,stale_read_signature_drift,False,ast_scope,2,3,gpt-5-mini,False,2,3,40.94,57150,3314,60464,0.020916,0,0.0,0,0,0,0,0.029,10,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_scope-n2-r3.jsonl
rw_b_signature_drift,stale_read_signature_drift,False,ast_scope,2,4,gpt-5-mini,False,2,3,63.59,119929,4035,123964,0.038052,0,0.0,0,0,0,0,0.162,22,1.0,1.0,False,2,0,0,rw_b_signature_drift__ast_scope-n2-r4.jsonl
