task,failure_mode,benign,strategy,mode,adapter,n_agents,rep,model,correct,oracle_passed,oracle_total,wall_clock_s,prompt_tokens,completion_tokens,total_tokens,estimated_usd,wasted_tokens,wasted_token_rate,stall_events,fp_stall_events,notify_events,fp_notify_events,stall_wait_s,reads_observed,llm_calls,tool_calls,file_read_events,write_events,write_applied_events,write_refused_events,search_events,coord_events,run_tests_events,notification_delivered_events,agent_turns,mean_agent_turns,tokens_per_agent_turn,read_set_visibility,critical_paths_read_fraction,timed_out,agents_done,agents_errored,agents_timeout,log,run_id,provider,run_dir
rw_b_signature_drift,stale_read_signature_drift,False,adaptive_lease,strategy,,2,0,gpt-5-mini,False,2,3,45.21,107794,5160,112954,0.037269,0,0.0,1,0,0,0,15.594,14,35,35,14,8,8,0,7,22,2,7,35,17.5,3227.2571428571428,1.0,1.0,False,2,0,0,rw_b_signature_drift__adaptive_lease-n2-r0.jsonl,grid-v1-extensions-full,openai,results/grid-v1-extensions-full
rw_b_signature_drift,stale_read_signature_drift,False,adaptive_lease,strategy,,2,1,gpt-5-mini,False,2,3,62.8,97220,4807,102027,0.033919,0,0.0,1,0,0,0,0.034,13,33,33,13,6,6,0,7,11,2,2,33,16.5,3091.7272727272725,1.0,1.0,False,2,0,0,rw_b_signature_drift__adaptive_lease-n2-r1.jsonl,grid-v1-extensions-full,openai,results/grid-v1-extensions-full
rw_b_signature_drift,stale_read_signature_drift,False,adaptive_lease,strategy,,2,2,gpt-5-mini,False,2,3,79.75,143075,7269,150344,0.050307,5583,0.03713483743947214,2,0,0,0,53.308,14,41,40,14,9,8,1,10,23,3,7,41,20.5,3666.9268292682927,1.0,1.0,False,2,0,0,rw_b_signature_drift__adaptive_lease-n2-r2.jsonl,grid-v1-extensions-full,openai,results/grid-v1-extensions-full
rw_b_signature_drift,stale_read_signature_drift,False,adaptive_lease,strategy,,2,3,gpt-5-mini,True,3,3,49.46,119958,5582,125540,0.041154,4609,0.036713398120121074,0,0,0,0,0.026,12,38,37,12,9,8,1,6,25,5,8,38,19.0,3303.684210526316,1.0,1.0,False,2,0,0,rw_b_signature_drift__adaptive_lease-n2-r3.jsonl,grid-v1-extensions-full,openai,results/grid-v1-extensions-full
rw_b_signature_drift,stale_read_signature_drift,False,adaptive_lease,strategy,,2,4,gpt-5-mini,False,2,3,60.26,113625,6804,120429,0.042014,0,0.0,1,0,0,0,30.024,13,37,37,13,9,9,0,8,22,3,7,37,18.5,3254.837837837838,1.0,1.0,False,2,0,0,rw_b_signature_drift__adaptive_lease-n2-r4.jsonl,grid-v1-extensions-full,openai,results/grid-v1-extensions-full
rw_b_signature_drift,stale_read_signature_drift,False,peer_broker,strategy,,2,0,gpt-5-mini,False,2,3,61.85,176284,10581,186865,0.065233,6691,0.03580659834639981,2,0,0,0,19.407,23,47,45,23,9,8,1,7,22,2,2,45,22.5,4152.555555555556,1.0,1.0,False,2,0,0,rw_b_signature_drift__peer_broker-n2-r0.jsonl,grid-v1-extensions-full,openai,results/grid-v1-extensions-full
rw_b_signature_drift,stale_read_signature_drift,False,peer_broker,strategy,,2,1,gpt-5-mini,False,2,3,60.26,129935,9575,139510,0.051634,0,0.0,2,0,0,0,21.876,20,41,39,20,8,8,0,4,22,3,2,39,19.5,3577.1794871794873,1.0,1.0,False,2,0,0,rw_b_signature_drift__peer_broker-n2-r1.jsonl,grid-v1-extensions-full,openai,results/grid-v1-extensions-full
rw_b_signature_drift,stale_read_signature_drift,False,peer_broker,strategy,,2,2,gpt-5-mini,True,3,3,62.43,132252,8963,141215,0.050989,12118,0.08581241369542895,2,0,0,0,18.515,16,40,38,16,10,8,2,6,20,3,1,38,19.0,3716.184210526316,1.0,1.0,False,2,0,0,rw_b_signature_drift__peer_broker-n2-r2.jsonl,grid-v1-extensions-full,openai,results/grid-v1-extensions-full
rw_b_signature_drift,stale_read_signature_drift,False,peer_broker,strategy,,2,3,gpt-5-mini,True,3,3,68.94,123386,9552,132938,0.049951,0,0.0,2,0,0,0,20.012,15,41,38,15,8,8,0,9,22,3,2,39,19.5,3408.6666666666665,1.0,1.0,False,2,0,0,rw_b_signature_drift__peer_broker-n2-r3.jsonl,grid-v1-extensions-full,openai,results/grid-v1-extensions-full
rw_b_signature_drift,stale_read_signature_drift,False,peer_broker,strategy,,2,4,gpt-5-mini,False,2,3,84.59,168050,12453,180503,0.066919,0,0.0,2,0,0,0,20.718,20,46,44,20,9,9,0,9,23,2,2,44,22.0,4102.340909090909,1.0,1.0,False,2,0,0,rw_b_signature_drift__peer_broker-n2-r4.jsonl,grid-v1-extensions-full,openai,results/grid-v1-extensions-full
